country,code,dates,rate,Gender,Country Name,Country Code,Date,Rates
IDA & IBRD total,IBT,1977.0,48.1804809570312,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1977.0,75.9159393310547,Female,,,,
Latin America & Caribbean,LCN,1977.0,76.9680023193359,Female,,,,
Lower middle income,LMC,1977.0,32.3599510192871,Female,,,,
Low & middle income,LMY,1977.0,47.3626594543457,Female,,,,
Late-demographic dividend,LTE,1977.0,58.3570213317871,Female,,,,
Maldives,MDV,1977.0,82.0,Female,,,,
Middle East & North Africa,MEA,1977.0,31.019100189209,Female,,,,
Middle income,MIC,1977.0,48.3074493408203,Female,,,,
Middle East & North Africa (excluding high income),MNA,1977.0,27.8789596557617,Female,,,,
South Asia,SAS,1977.0,22.0148296356201,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1977.0,49.4217796325684,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1977.0,76.1704864501953,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1977.0,27.4699001312256,Female,,,,
South Asia (IDA & IBRD),TSA,1977.0,22.0148296356201,Female,,,,
Upper middle income,UMC,1977.0,55.0503311157227,Female,,,,
World,WLD,1977.0,57.0249099731445,Female,,,,
Arab World,ARB,1978.0,31.767240524292,Female,,,,
East Asia & Pacific (excluding high income),EAP,1978.0,51.6761703491211,Female,,,,
Early-demographic dividend,EAR,1978.0,39.0725402832031,Female,,,,
East Asia & Pacific,EAS,1978.0,54.5682106018066,Female,,,,
IBRD only,IBD,1978.0,52.3293190002441,Female,,,,
IDA & IBRD total,IBT,1978.0,49.1010284423828,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1978.0,76.4907989501953,Female,,,,
Latin America & Caribbean,LCN,1978.0,77.5310516357422,Female,,,,
Lower middle income,LMC,1978.0,33.0080604553223,Female,,,,
Low & middle income,LMY,1978.0,48.2956695556641,Female,,,,
Late-demographic dividend,LTE,1978.0,59.6021385192871,Female,,,,
Middle East & North Africa,MEA,1978.0,31.7428207397461,Female,,,,
Middle income,MIC,1978.0,49.2844200134277,Female,,,,
Middle East & North Africa (excluding high income),MNA,1978.0,28.6531600952148,Female,,,,
Poland,POL,1978.0,98.0,Female,,,,
Rwanda,RWA,1978.0,27.0,Female,,,,
South Asia,SAS,1978.0,22.7707195281982,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1978.0,50.9679489135742,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1978.0,76.7536010742188,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1978.0,28.2506103515625,Female,,,,
South Asia (IDA & IBRD),TSA,1978.0,22.7707195281982,Female,,,,
Upper middle income,UMC,1978.0,56.3452415466309,Female,,,,
World,WLD,1978.0,57.790699005127,Female,,,,
Afghanistan,AFG,1979.0,5.0,Female,,,,
Arab World,ARB,1979.0,32.3515510559082,Female,,,,
Burundi,BDI,1979.0,12.0,Female,,,,
Benin,BEN,1979.0,10.0,Female,,,,
East Asia & Pacific (excluding high income),EAP,1979.0,53.4379196166992,Female,,,,
Early-demographic dividend,EAR,1979.0,39.7583618164062,Female,,,,
East Asia & Pacific,EAS,1979.0,56.173469543457,Female,,,,
Guinea-Bissau,GNB,1979.0,9.0,Female,,,,
IBRD only,IBD,1979.0,53.4527282714844,Female,,,,
IDA & IBRD total,IBT,1979.0,50.0893096923828,Female,,,,
Jordan,JOR,1979.0,52.0,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1979.0,77.0197601318359,Female,,,,
Latin America & Caribbean,LCN,1979.0,78.0511703491211,Female,,,,
Lower middle income,LMC,1979.0,33.6744117736816,Female,,,,
Low & middle income,LMY,1979.0,49.297908782959,Female,,,,
Late-demographic dividend,LTE,1979.0,61.0341300964355,Female,,,,
Middle East & North Africa,MEA,1979.0,32.514518737793,Female,,,,
Middle income,MIC,1979.0,50.334529876709,Female,,,,
Middle East & North Africa (excluding high income),MNA,1979.0,29.4482593536377,Female,,,,
South Asia,SAS,1979.0,23.540979385376,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1979.0,52.7555084228516,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1979.0,77.292106628418,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1979.0,29.0524005889893,Female,,,,
South Asia (IDA & IBRD),TSA,1979.0,23.540979385376,Female,,,,
Upper middle income,UMC,1979.0,57.7581405639648,Female,,,,
Viet Nam,VNM,1979.0,78.0,Female,,,,
Vanuatu,VUT,1979.0,48.0,Female,,,,
World,WLD,1979.0,58.6107215881348,Female,,,,
Arab World,ARB,1980.0,33.0195808410645,Female,,,,
Argentina,ARG,1980.0,94.0,Female,,,,
American Samoa,ASM,1980.0,97.0,Female,,,,
Brazil,BRA,1980.0,73.0,Female,,,,
Barbados,BRB,1980.0,99.5,Female,,,,
Comoros,COM,1980.0,40.0,Female,,,,
East Asia & Pacific (excluding high income),EAP,1980.0,55.0178108215332,Female,,,,
Early-demographic dividend,EAR,1980.0,40.4898681640625,Female,,,,
East Asia & Pacific,EAS,1980.0,57.6153907775879,Female,,,,
Grenada,GRD,1980.0,98.3000030517578,Female,,,,
Guam,GUM,1980.0,96.0,Female,,,,
Hungary,HUN,1980.0,98.0,Female,,,,
IBRD only,IBD,1980.0,54.5172080993652,Female,,,,
IDA & IBRD total,IBT,1980.0,51.0275688171387,Female,,,,
IDA blend,IDB,1980.0,36.3711814880371,Female,,,,
Indonesia,IDN,1980.0,58.0,Female,,,,
Kuwait,KWT,1980.0,59.0,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1980.0,77.5036087036133,Female,,,,
Latin America & Caribbean,LCN,1980.0,78.5284805297852,Female,,,,
Lower middle income,LMC,1980.0,34.3267402648926,Female,,,,
Low & middle income,LMY,1980.0,50.2494812011719,Female,,,,
Late-demographic dividend,LTE,1980.0,62.3116188049316,Female,,,,
Middle East & North Africa,MEA,1980.0,33.3633804321289,Female,,,,
Mexico,MEX,1980.0,80.0,Female,,,,
Middle income,MIC,1980.0,51.329891204834,Female,,,,
Middle East & North Africa (excluding high income),MNA,1980.0,30.3653793334961,Female,,,,
Mozambique,MOZ,1980.0,12.0,Female,,,,
Malaysia,MYS,1980.0,61.0,Female,,,,
Panama,PAN,1980.0,88.0,Female,,,,
Philippines,PHL,1980.0,83.0,Female,,,,
Palau,PLW,1980.0,91.0,Female,,,,
Puerto Rico,PRI,1980.0,86.0,Female,,,,
South Asia,SAS,1980.0,24.284049987793,Female,,,,
Singapore,SGP,1980.0,74.0,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1980.0,54.3585586547852,Female,,,,
Thailand,THA,1980.0,84.0,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1980.0,77.7861404418945,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1980.0,29.9772396087646,Female,,,,
South Asia (IDA & IBRD),TSA,1980.0,24.284049987793,Female,,,,
Trinidad and Tobago,TTO,1980.0,93.0,Female,,,,
Turkiye,TUR,1980.0,50.0,Female,,,,
Upper middle income,UMC,1980.0,59.0829811096191,Female,,,,
St. Vincent and the Grenadines,VCT,1980.0,96.9000015258789,Female,,,,
World,WLD,1980.0,59.3887596130371,Female,,,,
South Africa,ZAF,1980.0,75.0,Female,,,,
Arab World,ARB,1981.0,33.695240020752,Female,,,,
Bangladesh,BGD,1981.0,18.0,Female,,,,
Bahrain,BHR,1981.0,59.0,Female,,,,
Brunei Darussalam,BRN,1981.0,69.0,Female,,,,
Central Europe and the Baltics,CEB,1981.0,96.9991226196289,Female,,,,
Dominican Republic,DOM,1981.0,73.0,Female,,,,
East Asia & Pacific (excluding high income),EAP,1981.0,56.5198516845703,Female,,,,
Early-demographic dividend,EAR,1981.0,41.2148094177246,Female,,,,
East Asia & Pacific,EAS,1981.0,58.9864311218262,Female,,,,
Spain,ESP,1981.0,90.0,Female,,,,
Greece,GRC,1981.0,85.0,Female,,,,
IBRD only,IBD,1981.0,55.5488510131836,Female,,,,
IDA & IBRD total,IBT,1981.0,51.937198638916,Female,,,,
IDA total,IDA,1981.0,34.5158081054688,Female,,,,
IDA blend,IDB,1981.0,36.7092094421387,Female,,,,
IDA only,IDX,1981.0,33.4686508178711,Female,,,,
India,IND,1981.0,26.0,Female,,,,
Italy,ITA,1981.0,96.0,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1981.0,78.0322570800781,Female,,,,
Latin America & Caribbean,LCN,1981.0,79.0435104370117,Female,,,,
Least developed countries: UN classification,LDC,1981.0,29.5031700134277,Female,,,,
Sri Lanka,LKA,1981.0,82.0,Female,,,,
Lower middle income,LMC,1981.0,34.9710006713867,Female,,,,
Low & middle income,LMY,1981.0,51.1720085144043,Female,,,,
Late-demographic dividend,LTE,1981.0,63.5324401855469,Female,,,,
"Macao SAR, China",MAC,1981.0,86.0,Female,,,,
Middle East & North Africa,MEA,1981.0,34.2269287109375,Female,,,,
Middle income,MIC,1981.0,52.2935600280762,Female,,,,
Middle East & North Africa (excluding high income),MNA,1981.0,31.300630569458,Female,,,,
Montenegro,MNE,1981.0,83.0,Female,,,,
Nepal,NPL,1981.0,9.0,Female,,,,
Pakistan,PAK,1981.0,15.0,Female,,,,
Peru,PER,1981.0,74.0,Female,,,,
Portugal,PRT,1981.0,75.0,Female,,,,
South Asia,SAS,1981.0,24.9996204376221,Female,,,,
Sao Tome and Principe,STP,1981.0,42.0,Female,,,,
Syrian Arab Republic,SYR,1981.0,37.0,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1981.0,55.8826103210449,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1981.0,78.3192596435547,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1981.0,30.9203491210938,Female,,,,
South Asia (IDA & IBRD),TSA,1981.0,24.9996204376221,Female,,,,
Upper middle income,UMC,1981.0,60.356819152832,Female,,,,
"Venezuela, RB",VEN,1981.0,83.0,Female,,,,
World,WLD,1981.0,60.1468696594238,Female,,,,
Arab World,ARB,1982.0,34.4745903015137,Female,,,,
Central Europe and the Baltics,CEB,1982.0,97.0323333740234,Female,,,,
Chile,CHL,1982.0,91.0,Female,,,,
China,CHN,1982.0,51.0,Female,,,,
East Asia & Pacific (excluding high income),EAP,1982.0,57.9139595031738,Female,,,,
Early-demographic dividend,EAR,1982.0,41.9775810241699,Female,,,,
East Asia & Pacific,EAS,1982.0,60.2653999328613,Female,,,,
Ecuador,ECU,1982.0,80.0,Female,,,,
Haiti,HTI,1982.0,33.0,Female,,,,
IBRD only,IBD,1982.0,56.5419998168945,Female,,,,
IDA & IBRD total,IBT,1982.0,52.8203315734863,Female,,,,
IDA total,IDA,1982.0,34.8682899475098,Female,,,,
IDA blend,IDB,1982.0,37.0882186889648,Female,,,,
IDA only,IDX,1982.0,33.808479309082,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1982.0,78.5474624633789,Female,,,,
Latin America & Caribbean,LCN,1982.0,79.5451889038086,Female,,,,
Least developed countries: UN classification,LDC,1982.0,29.83669090271,Female,,,,
Lower middle income,LMC,1982.0,35.6565895080566,Female,,,,
Low & middle income,LMY,1982.0,52.0677909851074,Female,,,,
Late-demographic dividend,LTE,1982.0,64.6701583862305,Female,,,,
Morocco,MAR,1982.0,18.0,Female,,,,
Middle East & North Africa,MEA,1982.0,35.212230682373,Female,,,,
Middle income,MIC,1982.0,53.228099822998,Female,,,,
Middle East & North Africa (excluding high income),MNA,1982.0,32.281909942627,Female,,,,
Paraguay,PRY,1982.0,76.0,Female,,,,
South Asia,SAS,1982.0,25.7807807922363,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1982.0,57.2971496582031,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1982.0,78.8385925292969,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1982.0,31.9098796844482,Female,,,,
South Asia (IDA & IBRD),TSA,1982.0,25.7807807922363,Female,,,,
Upper middle income,UMC,1982.0,61.5498809814453,Female,,,,
World,WLD,1982.0,60.8878211975098,Female,,,,
Zimbabwe,ZWE,1982.0,72.0,Female,,,,
Arab World,ARB,1983.0,34.8901481628418,Female,,,,
Central Europe and the Baltics,CEB,1983.0,97.0661087036133,Female,,,,
East Asia & Pacific (excluding high income),EAP,1983.0,59.2517700195312,Female,,,,
Early-demographic dividend,EAR,1983.0,42.7644081115723,Female,,,,
East Asia & Pacific,EAS,1983.0,61.4942817687988,Female,,,,
IBRD only,IBD,1983.0,57.5197906494141,Female,,,,
IDA & IBRD total,IBT,1983.0,53.6939010620117,Female,,,,
IDA total,IDA,1983.0,35.239128112793,Female,,,,
IDA blend,IDB,1983.0,37.4572486877441,Female,,,,
IDA only,IDX,1983.0,34.1801795959473,Female,,,,
Israel,ISR,1983.0,89.0,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1983.0,79.0539169311523,Female,,,,
Latin America & Caribbean,LCN,1983.0,80.0381927490234,Female,,,,
Least developed countries: UN classification,LDC,1983.0,30.2013206481934,Female,,,,
Lower middle income,LMC,1983.0,36.2877998352051,Female,,,,
Low & middle income,LMY,1983.0,52.9538497924805,Female,,,,
Late-demographic dividend,LTE,1983.0,65.7528228759766,Female,,,,
Middle East & North Africa,MEA,1983.0,36.2855491638184,Female,,,,
Middle income,MIC,1983.0,54.1492385864258,Female,,,,
Myanmar,MMR,1983.0,72.0,Female,,,,
Middle East & North Africa (excluding high income),MNA,1983.0,33.443920135498,Female,,,,
South Asia,SAS,1983.0,26.5774803161621,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1983.0,58.6545715332031,Female,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,1983.0,91.6857986450195,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1983.0,79.3490676879883,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1983.0,33.0816688537598,Female,,,,
South Asia (IDA & IBRD),TSA,1983.0,26.5774803161621,Female,,,,
Upper middle income,UMC,1983.0,62.7568092346191,Female,,,,
World,WLD,1983.0,61.6174011230469,Female,,,,
Arab World,ARB,1984.0,35.8045196533203,Female,,,,
Central Europe and the Baltics,CEB,1984.0,97.1183090209961,Female,,,,
"Congo, Rep.",COG,1984.0,49.0,Female,,,,
Costa Rica,CRI,1984.0,93.0,Female,,,,
East Asia & Pacific (excluding high income),EAP,1984.0,60.685489654541,Female,,,,
Early-demographic dividend,EAR,1984.0,43.7831993103027,Female,,,,
East Asia & Pacific,EAS,1984.0,62.8062782287598,Female,,,,
IBRD only,IBD,1984.0,58.6656188964844,Female,,,,
IDA & IBRD total,IBT,1984.0,54.7179908752441,Female,,,,
IDA total,IDA,1984.0,35.6759796142578,Female,,,,
IDA blend,IDB,1984.0,37.8307304382324,Female,,,,
IDA only,IDX,1984.0,34.6472702026367,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1984.0,79.5495910644531,Female,,,,
Liberia,LBR,1984.0,19.0,Female,,,,
Libya,LBY,1984.0,42.0,Female,,,,
Latin America & Caribbean,LCN,1984.0,80.520263671875,Female,,,,
Least developed countries: UN classification,LDC,1984.0,30.6598091125488,Female,,,,
Lower middle income,LMC,1984.0,37.0206298828125,Female,,,,
Low & middle income,LMY,1984.0,53.9935302734375,Female,,,,
Late-demographic dividend,LTE,1984.0,66.9200973510742,Female,,,,
Middle East & North Africa,MEA,1984.0,37.374439239502,Female,,,,
Middle income,MIC,1984.0,55.234489440918,Female,,,,
Middle East & North Africa (excluding high income),MNA,1984.0,34.5995788574219,Female,,,,
Other small states,OSS,1984.0,67.1471862792969,Female,,,,
South Asia,SAS,1984.0,27.3861999511719,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1984.0,60.1092910766602,Female,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,1984.0,92.6586685180664,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1984.0,79.8482666015625,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1984.0,34.2470512390137,Female,,,,
South Asia (IDA & IBRD),TSA,1984.0,27.3861999511719,Female,,,,
Tunisia,TUN,1984.0,36.0,Female,,,,
Upper middle income,UMC,1984.0,64.186279296875,Female,,,,
Vanuatu,VUT,1984.0,53.7000007629395,Female,,,,
World,WLD,1984.0,62.4651489257812,Female,,,,
Africa Western and Central,AFW,1985.0,28.558349609375,Female,,,,
Arab World,ARB,1985.0,36.7085800170898,Female,,,,
United Arab Emirates,ARE,1985.0,69.0,Female,,,,
Central Europe and the Baltics,CEB,1985.0,97.1619873046875,Female,,,,
East Asia & Pacific (excluding high income),EAP,1985.0,62.0498390197754,Female,,,,
Early-demographic dividend,EAR,1985.0,44.5701904296875,Female,,,,
East Asia & Pacific,EAS,1985.0,64.055419921875,Female,,,,
IBRD only,IBD,1985.0,59.6726913452148,Female,,,,
IDA & IBRD total,IBT,1985.0,55.6312217712402,Female,,,,
IDA total,IDA,1985.0,36.1365699768066,Female,,,,
IDA blend,IDB,1985.0,38.2086486816406,Female,,,,
IDA only,IDX,1985.0,35.1473388671875,Female,,,,
Kuwait,KWT,1985.0,69.0,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1985.0,80.035758972168,Female,,,,
Latin America & Caribbean,LCN,1985.0,80.992561340332,Female,,,,
Least developed countries: UN classification,LDC,1985.0,31.1520099639893,Female,,,,
Lower middle income,LMC,1985.0,37.7636489868164,Female,,,,
Low & middle income,LMY,1985.0,54.9202690124512,Female,,,,
Late-demographic dividend,LTE,1985.0,68.0536193847656,Female,,,,
Maldives,MDV,1985.0,92.0,Female,,,,
Middle East & North Africa,MEA,1985.0,38.4574012756348,Female,,,,
Middle income,MIC,1985.0,56.1973609924316,Female,,,,
Malta,MLT,1985.0,87.0,Female,,,,
Middle East & North Africa (excluding high income),MNA,1985.0,35.7770805358887,Female,,,,
Other small states,OSS,1985.0,67.4823989868164,Female,,,,
South Asia,SAS,1985.0,28.2024707794189,Female,,,,
Sub-Saharan Africa (excluding high income),SSA,1985.0,39.1187286376953,Female,,,,
Sub-Saharan Africa,SSF,1985.0,39.1263008117676,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1985.0,61.4936485290527,Female,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,1985.0,92.8974685668945,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1985.0,80.3373718261719,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1985.0,35.4344482421875,Female,,,,
South Asia (IDA & IBRD),TSA,1985.0,28.2024707794189,Female,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1985.0,39.1263008117676,Female,,,,
Turkiye,TUR,1985.0,64.0,Female,,,,
Upper middle income,UMC,1985.0,65.3693618774414,Female,,,,
Uruguay,URY,1985.0,96.0,Female,,,,
World,WLD,1985.0,63.223461151123,Female,,,,
Africa Western and Central,AFW,1986.0,28.8379497528076,Female,,,,
Arab World,ARB,1986.0,37.6204605102539,Female,,,,
Central Europe and the Baltics,CEB,1986.0,97.2062835693359,Female,,,,
East Asia & Pacific (excluding high income),EAP,1986.0,63.2267417907715,Female,,,,
Early-demographic dividend,EAR,1986.0,45.3617095947266,Female,,,,
East Asia & Pacific,EAS,1986.0,65.1162261962891,Female,,,,
"Egypt, Arab Rep.",EGY,1986.0,31.0,Female,,,,
Fragile and conflict affected situations,FCS,1986.0,49.0557594299316,Female,,,,
Heavily indebted poor countries (HIPC),HPC,1986.0,32.7025909423828,Female,,,,
IBRD only,IBD,1986.0,60.5918617248535,Female,,,,
IDA & IBRD total,IBT,1986.0,56.4697303771973,Female,,,,
IDA total,IDA,1986.0,36.5860214233398,Female,,,,
IDA blend,IDB,1986.0,38.6030197143555,Female,,,,
IDA only,IDX,1986.0,35.6230812072754,Female,,,,
"Iran, Islamic Rep.",IRN,1986.0,41.0,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1986.0,80.5136108398438,Female,,,,
Latin America & Caribbean,LCN,1986.0,81.4562683105469,Female,,,,
Least developed countries: UN classification,LDC,1986.0,31.6161804199219,Female,,,,
Lower middle income,LMC,1986.0,38.3351211547852,Female,,,,
Low & middle income,LMY,1986.0,55.7709083557129,Female,,,,
Late-demographic dividend,LTE,1986.0,69.0318908691406,Female,,,,
Middle East & North Africa,MEA,1986.0,39.546028137207,Female,,,,
Middle income,MIC,1986.0,57.0825881958008,Female,,,,
Middle East & North Africa (excluding high income),MNA,1986.0,36.9618186950684,Female,,,,
Other small states,OSS,1986.0,67.8891830444336,Female,,,,
Pre-demographic dividend,PRE,1986.0,36.3266792297363,Female,,,,
Qatar,QAT,1986.0,72.0,Female,,,,
South Asia,SAS,1986.0,29.0315704345703,Female,,,,
Sub-Saharan Africa (excluding high income),SSA,1986.0,39.5011787414551,Female,,,,
Sub-Saharan Africa,SSF,1986.0,39.5087814331055,Female,,,,
Eswatini,SWZ,1986.0,65.0,Female,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,1986.0,62.6877899169922,Female,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,1986.0,93.1389236450195,Female,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1986.0,80.8175430297852,Female,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,1986.0,36.6291618347168,Female,,,,
South Asia (IDA & IBRD),TSA,1986.0,29.0315704345703,Female,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1986.0,39.5087814331055,Female,,,,
Upper middle income,UMC,1986.0,66.5326766967773,Female,,,,
World,WLD,1986.0,63.9141693115234,Female,,,,
Africa Eastern and Southern,AFE,1987.0,47.1497802734375,Female,,,,
Africa Western and Central,AFW,1987.0,29.6168308258057,Female,,,,
Arab World,ARB,1987.0,38.5295295715332,Female,,,,
Central Europe and the Baltics,CEB,1987.0,97.2604675292969,Female,,,,
Algeria,DZA,1987.0,36.0,Female,,,,
East Asia & Pacific (excluding high income),EAP,1987.0,64.7203826904297,Female,,,,
Early-demographic dividend,EAR,1987.0,46.3423690795898,Female,,,,
East Asia & Pacific,EAS,1987.0,66.5240707397461,Female,,,,
Fragile and conflict affected situations,FCS,1987.0,49.6236381530762,Female,,,,
Heavily indebted poor countries (HIPC),HPC,1987.0,33.3619613647461,Female,,,,
IBRD only,IBD,1987.0,61.6435317993164,Female,,,,
IDA & IBRD total,IBT,1987.0,57.4508209228516,Female,,,,
IDA total,IDA,1987.0,37.2266006469727,Female,,,,
IDA blend,IDB,1987.0,39.3770217895508,Female,,,,
IDA only,IDX,1987.0,36.1999588012695,Female,,,,
Latin America & Caribbean (excluding high income),LAC,1987.0,80.8101806640625,Female,,,,
Latin America & Caribbean,LCN,1987.0,81.7453994750977,Female,,,,
Least developed countries: UN classification,LDC,1987.0,32.1944999694824,Female,,,,
Lower middle income,LMC,1987.0,39.3738212585449,Female,,,,
Low & middle income,LMY,1987.0,56.7689399719238,Female,,,,
Late-demographic dividend,LTE,1987.0,70.0684814453125,Female,,,,
Middle East & North Africa,MEA,1987.0,40.6330986022949,Female,,,,
Middle income,MIC,1987.0,58.1120681762695,Female,,,,
Middle East & North Africa (excluding high income),MNA,1987.0,38.1484413146973,Female,,,,
Malawi,MWI,1987.0,34.0,Female,,,,
