Entity,Code,Year,Female labor force participation rate (OWID based on OECD 2017 and others)
Spain,ESP,1992,35.43108795
Spain,ESP,1993,36.11487116
Spain,ESP,1994,37.0859949
Spain,ESP,1995,37.66044501
Spain,ESP,1996,38.22431825
Spain,ESP,1997,38.8871247
Spain,ESP,1998,39.23155122
Spain,ESP,1999,39.92726458
Spain,ESP,2000,41.33411877
Spain,ESP,2001,40.27207822
Spain,ESP,2002,42.74755278
Spain,ESP,2003,44.3734474
Spain,ESP,2004,45.72769418
Spain,ESP,2005,47.03012963
Spain,ESP,2006,48.45382859
Spain,ESP,2007,49.50920682
Spain,ESP,2008,50.93257516
Spain,ESP,2009,52.01044212
Spain,ESP,2010,52.70006091
Spain,ESP,2011,53.38588255
Spain,ESP,2012,53.98224045
Spain,ESP,2013,53.94362644
Spain,ESP,2014,53.6745498
Spain,ESP,2015,53.69840031
Spain,ESP,2016,53.64144133
United Kingdom,GBR,1921,32.3
United Kingdom,GBR,1931,34.2
United Kingdom,GBR,1951,34.7
United Kingdom,GBR,1961,37.4
United Kingdom,GBR,1971,42.7
United Kingdom,GBR,1981,45.6
United Kingdom,GBR,1984,49.23290481
United Kingdom,GBR,1985,49.57481603
United Kingdom,GBR,1986,50.41436054
United Kingdom,GBR,1987,50.92438981
United Kingdom,GBR,1988,51.65113991
United Kingdom,GBR,1989,52.94036269
United Kingdom,GBR,1990,53.24416241
United Kingdom,GBR,1991,53.21266192
United Kingdom,GBR,1992,53.05319012
United Kingdom,GBR,1993,53.09386359
United Kingdom,GBR,1994,53.15677061
United Kingdom,GBR,1995,53.12819639
United Kingdom,GBR,1996,53.5081382
United Kingdom,GBR,1997,53.95305483
United Kingdom,GBR,1998,53.92802838
United Kingdom,GBR,1999,54.49532789
United Kingdom,GBR,2000,54.87993966
United Kingdom,GBR,2001,54.86681396
United Kingdom,GBR,2002,55.43107287
United Kingdom,GBR,2003,55.26898748
United Kingdom,GBR,2004,55.65285647
United Kingdom,GBR,2005,55.92255619
United Kingdom,GBR,2006,56.61195223
United Kingdom,GBR,2007,56.21880413
United Kingdom,GBR,2008,56.5470764
United Kingdom,GBR,2009,56.58360522
United Kingdom,GBR,2010,56.63858715
United Kingdom,GBR,2011,56.69244111
United Kingdom,GBR,2012,56.82707988
United Kingdom,GBR,2013,57.16225204
United Kingdom,GBR,2014,57.57954364
United Kingdom,GBR,2015,57.60372919
United Kingdom,GBR,2016,57.9712273
United States,USA,1890,18.6
United States,USA,1900,20.4
United States,USA,1910,22.8
United States,USA,1920,23.3
United States,USA,1930,24.3
United States,USA,1940,25.4
United States,USA,1950,28.6
United States,USA,1960,40.4474344
United States,USA,1961,40.96715647
United States,USA,1962,40.90077337
United States,USA,1963,37.97147726
United States,USA,1964,38.38956963
United States,USA,1965,38.90124885
United States,USA,1966,39.86145545
United States,USA,1967,41.05501261
United States,USA,1968,41.61477407
United States,USA,1969,42.71176001
United States,USA,1970,43.33919543
United States,USA,1971,43.35783918
United States,USA,1972,43.88459976
United States,USA,1973,44.73048351
United States,USA,1974,45.656395
United States,USA,1975,46.34867241
United States,USA,1976,47.31763564
United States,USA,1977,48.43934497
United States,USA,1978,49.95488475
United States,USA,1979,50.9350099
United States,USA,1980,51.47568069
United States,USA,1981,52.10730107
United States,USA,1982,52.62374928
United States,USA,1983,52.90229697
United States,USA,1984,53.57843454
United States,USA,1985,54.46195206
United States,USA,1986,55.29391906
United States,USA,1987,55.9778413
United States,USA,1988,56.57633635
United States,USA,1989,57.39117075
United States,USA,1990,57.52723003
United States,USA,1991,57.37954981
United States,USA,1992,57.83060626
United States,USA,1993,57.92366954
United States,USA,1994,58.79350393
United States,USA,1995,58.93622165
United States,USA,1996,59.25737879
United States,USA,1997,59.79396113
United States,USA,1998,59.84558161
United States,USA,1999,60.03554535
United States,USA,2000,59.94195928
United States,USA,2001,59.78839291
United States,USA,2002,59.62348651
United States,USA,2003,59.50372165
United States,USA,2004,59.16193243
United States,USA,2005,59.252386
United States,USA,2006,59.36350024
United States,USA,2007,59.30657087
United States,USA,2008,59.47247174
United States,USA,2009,59.1948449
United States,USA,2010,58.62167362
United States,USA,2011,58.10300081
United States,USA,2012,57.68381769
United States,USA,2013,57.20556307
United States,USA,2014,56.97314332
United States,USA,2015,56.67617579
United States,USA,2016,56.80250305
