Entity,Code,Year,it_net_user_zs
Latin America and Caribbean,,2012,43.19985
Latin America and Caribbean,,2013,46.262547
Latin America and Caribbean,,2014,48.810333
Latin America and Caribbean,,2015,54.40199
Latin America and Caribbean,,2016,57.544357
Latin America and Caribbean,,2017,60.262432
Latin America and Caribbean,,2018,63.604153
Latin America and Caribbean,,2019,68.75081
Latin America and Caribbean,,2020,73.91302
Latin America and Caribbean,,2021,76.158226
Middle East and North Africa,,1990,0.0020725408
Middle East and North Africa,,1991,0.004020833
Middle East and North Africa,,1992,0.0058202436
Middle East and North Africa,,1993,0.008255953
Middle East and North Africa,,1994,0.013511151
Middle East and North Africa,,1995,0.03176988
Middle East and North Africa,,1996,0.08556826
Middle East and North Africa,,1997,0.23350029
Middle East and North Africa,,1998,0.49847832
Middle East and North Africa,,1999,0.94198006
Middle East and North Africa,,2000,1.7276124
Middle East and North Africa,,2001,2.1076205
Middle East and North Africa,,2002,3.7770553
Middle East and North Africa,,2003,5.1345096
Middle East and North Africa,,2004,8.409275
Middle East and North Africa,,2005,9.775814
Middle East and North Africa,,2006,11.790599
Middle East and North Africa,,2007,15.074876
Middle East and North Africa,,2008,18.781885
Middle East and North Africa,,2009,21.65317
Middle East and North Africa,,2010,24.85815
Middle East and North Africa,,2011,27.770042
Middle East and North Africa,,2012,31.21321
Middle East and North Africa,,2013,35.152092
Middle East and North Africa,,2014,40.079563
Middle East and North Africa,,2015,44.35475
Middle East and North Africa,,2016,48.408764
Middle East and North Africa,,2017,54.883533
Middle East and North Africa,,2018,60.225838
Middle East and North Africa,,2019,67.333916
Middle East and North Africa,,2020,72.78926
Middle East and North Africa,,2021,77.373535
North America,,1990,0.74207324
North America,,1991,1.1035612
North America,,1992,1.6430557
North America,,1993,2.1628096
North America,,1994,4.614666
North America,,1995,8.732886
North America,,1996,15.46213
North America,,1997,20.970108
North America,,1998,29.581812
North America,,1999,35.882687
North America,,2000,43.884655
North America,,2001,50.169582
North America,,2002,59.059162
North America,,2003,61.941288
North America,,2004,64.8748
North America,,2005,68.32896
North America,,2006,69.27092
North America,,2007,74.823654
North America,,2008,74.266136
North America,,2009,71.91534
North America,,2010,72.5394
North America,,2011,71.04075
North America,,2012,75.5224
North America,,2013,72.82858
North America,,2014,74.402565
North America,,2015,76.08974
North America,,2016,86.10466
North America,,2017,87.81817
North America,,2018,89.114975
North America,,2019,89.6808
North America,,2020,90.790695
North America,,2021,91.86313
South Asia,,1990,0.0
South Asia,,1991,0.0
South Asia,,1992,8.4720785e-05
South Asia,,1993,0.0001657734
South Asia,,1994,0.0008512783
South Asia,,1995,0.019977266
South Asia,,1996,0.040563747
South Asia,,1997,0.060038242
South Asia,,1998,0.1169904
South Asia,,1999,0.22607283
South Asia,,2000,0.47542065
South Asia,,2001,0.6706829
South Asia,,2002,1.4769018
South Asia,,2003,1.8742511
South Asia,,2004,2.2243075
South Asia,,2005,2.5869167
South Asia,,2006,3.0206366
South Asia,,2007,4.007624
South Asia,,2008,4.4322634
South Asia,,2009,5.142473
South Asia,,2010,7.1692076
South Asia,,2011,9.220739
South Asia,,2012,10.098044
South Asia,,2013,11.303046
South Asia,,2014,12.830551
South Asia,,2015,14.19875
South Asia,,2016,16.203712
South Asia,,2017,18.012222
South Asia,,2018,20.22646
South Asia,,2019,27.99036
South Asia,,2020,38.976124
South Asia,,2021,42.587265
Sub-Saharan Africa,,1990,0.0
Sub-Saharan Africa,,1991,0.00103339
Sub-Saharan Africa,,1992,0.003006051
Sub-Saharan Africa,,1993,0.008724507
Sub-Saharan Africa,,1994,0.018911593
Sub-Saharan Africa,,1995,0.051620305
Sub-Saharan Africa,,1996,0.07231788
Sub-Saharan Africa,,1997,0.13508853
Sub-Saharan Africa,,1998,0.24472712
Sub-Saharan Africa,,1999,0.37397653
Sub-Saharan Africa,,2000,0.51690954
Sub-Saharan Africa,,2001,0.6565449
Sub-Saharan Africa,,2002,0.8391686
Sub-Saharan Africa,,2003,1.114833
Sub-Saharan Africa,,2004,1.4952703
Sub-Saharan Africa,,2005,2.0158885
Sub-Saharan Africa,,2006,2.659157
Sub-Saharan Africa,,2007,3.3699985
Sub-Saharan Africa,,2008,3.669102
Sub-Saharan Africa,,2009,4.3129983
Sub-Saharan Africa,,2010,6.137968
Sub-Saharan Africa,,2011,7.5966353
Sub-Saharan Africa,,2012,9.284887
Sub-Saharan Africa,,2013,11.1593895
Sub-Saharan Africa,,2014,13.368985
Sub-Saharan Africa,,2015,16.01171
Sub-Saharan Africa,,2016,18.636309
Sub-Saharan Africa,,2017,21.270233
Sub-Saharan Africa,,2018,24.82527
Sub-Saharan Africa,,2019,27.764923
Sub-Saharan Africa,,2020,31.82429
Sub-Saharan Africa,,2021,35.86174
World,OWID_WRL,1990,0.048824694
World,OWID_WRL,1991,0.07881051
World,OWID_WRL,1992,0.12518632
World,OWID_WRL,1993,0.17900668
World,OWID_WRL,1994,0.36050814
World,OWID_WRL,1995,0.68308204
World,OWID_WRL,1996,1.3265672
World,OWID_WRL,1997,2.042697
World,OWID_WRL,1998,3.1405797
World,OWID_WRL,1999,4.6329026
World,OWID_WRL,2000,6.7437196
World,OWID_WRL,2001,8.053556
World,OWID_WRL,2002,10.518528
World,OWID_WRL,2003,12.195854
World,OWID_WRL,2004,14.081819
World,OWID_WRL,2005,15.674662
World,OWID_WRL,2006,17.42642
World,OWID_WRL,2007,20.354536
World,OWID_WRL,2008,23.006836
World,OWID_WRL,2009,25.560005
World,OWID_WRL,2010,28.797653
World,OWID_WRL,2011,31.211966
World,OWID_WRL,2012,33.71336
World,OWID_WRL,2013,35.649258
World,OWID_WRL,2014,37.88078
World,OWID_WRL,2015,40.270058
World,OWID_WRL,2016,43.21598
World,OWID_WRL,2017,45.54307
World,OWID_WRL,2018,49.157562
World,OWID_WRL,2019,53.748886
World,OWID_WRL,2020,59.569138
World,OWID_WRL,2021,63.07135
