country,code,dates,rate
Middle East & North Africa (excluding high income),MNA,1976,27.2224102020264
New Caledonia,NCL,1976,90.0
South Asia,SAS,1976,21.277250289917
Eswatini,SWZ,1976,54.0
East Asia & Pacific (IDA & IBRD countries),TEA,1976,49.2014389038086
Latin America & the Caribbean (IDA & IBRD countries),TLA,1976,75.6297378540039
Middle East & North Africa (IDA & IBRD countries),TMN,1976,26.8078193664551
Tonga,TON,1976,100.0
South Asia (IDA & IBRD),TSA,1976,21.277250289917
Upper middle income,UMC,1976,54.7662010192871
World,WLD,1976,56.6814117431641
East Asia & Pacific (excluding high income),EAP,1977,50.1523284912109
Early-demographic dividend,EAR,1977,38.3404083251953
East Asia & Pacific,EAS,1977,53.1723785400391
IBRD only,IBD,1977,51.2799301147461
IDA & IBRD total,IBT,1977,48.1804809570312
Latin America & Caribbean (excluding high income),LAC,1977,75.9159393310547
Latin America & Caribbean,LCN,1977,76.9680023193359
Lower middle income,LMC,1977,32.3599510192871
Low & middle income,LMY,1977,47.3626594543457
Late-demographic dividend,LTE,1977,58.3570213317871
Maldives,MDV,1977,82.0
Middle East & North Africa,MEA,1977,31.019100189209
Middle income,MIC,1977,48.3074493408203
Middle East & North Africa (excluding high income),MNA,1977,27.8789596557617
South Asia,SAS,1977,22.0148296356201
East Asia & Pacific (IDA & IBRD countries),TEA,1977,49.4217796325684
Latin America & the Caribbean (IDA & IBRD countries),TLA,1977,76.1704864501953
Middle East & North Africa (IDA & IBRD countries),TMN,1977,27.4699001312256
South Asia (IDA & IBRD),TSA,1977,22.0148296356201
Upper middle income,UMC,1977,55.0503311157227
World,WLD,1977,57.0249099731445
Arab World,ARB,1978,31.767240524292
East Asia & Pacific (excluding high income),EAP,1978,51.6761703491211
Early-demographic dividend,EAR,1978,39.0725402832031
East Asia & Pacific,EAS,1978,54.5682106018066
IBRD only,IBD,1978,52.3293190002441
IDA & IBRD total,IBT,1978,49.1010284423828
Latin America & Caribbean (excluding high income),LAC,1978,76.4907989501953
Latin America & Caribbean,LCN,1978,77.5310516357422
Lower middle income,LMC,1978,33.0080604553223
Low & middle income,LMY,1978,48.2956695556641
Late-demographic dividend,LTE,1978,59.6021385192871
Middle East & North Africa,MEA,1978,31.7428207397461
Middle income,MIC,1978,49.2844200134277
Middle East & North Africa (excluding high income),MNA,1978,28.6531600952148
Poland,POL,1978,98.0
Rwanda,RWA,1978,27.0
South Asia,SAS,1978,22.7707195281982
East Asia & Pacific (IDA & IBRD countries),TEA,1978,50.9679489135742
Latin America & the Caribbean (IDA & IBRD countries),TLA,1978,76.7536010742188
Middle East & North Africa (IDA & IBRD countries),TMN,1978,28.2506103515625
South Asia (IDA & IBRD),TSA,1978,22.7707195281982
Upper middle income,UMC,1978,56.3452415466309
World,WLD,1978,57.790699005127
Afghanistan,AFG,1979,5.0
Arab World,ARB,1979,32.3515510559082
Burundi,BDI,1979,12.0
Benin,BEN,1979,10.0
East Asia & Pacific (excluding high income),EAP,1979,53.4379196166992
Early-demographic dividend,EAR,1979,39.7583618164062
East Asia & Pacific,EAS,1979,56.173469543457
Guinea-Bissau,GNB,1979,9.0
IBRD only,IBD,1979,53.4527282714844
IDA & IBRD total,IBT,1979,50.0893096923828
Jordan,JOR,1979,52.0
Latin America & Caribbean (excluding high income),LAC,1979,77.0197601318359
Latin America & Caribbean,LCN,1979,78.0511703491211
Lower middle income,LMC,1979,33.6744117736816
Low & middle income,LMY,1979,49.297908782959
Late-demographic dividend,LTE,1979,61.0341300964355
Middle East & North Africa,MEA,1979,32.514518737793
Middle income,MIC,1979,50.334529876709
Middle East & North Africa (excluding high income),MNA,1979,29.4482593536377
South Asia,SAS,1979,23.540979385376
East Asia & Pacific (IDA & IBRD countries),TEA,1979,52.7555084228516
Latin America & the Caribbean (IDA & IBRD countries),TLA,1979,77.292106628418
Middle East & North Africa (IDA & IBRD countries),TMN,1979,29.0524005889893
South Asia (IDA & IBRD),TSA,1979,23.540979385376
Upper middle income,UMC,1979,57.7581405639648
Viet Nam,VNM,1979,78.0
Vanuatu,VUT,1979,48.0
World,WLD,1979,58.6107215881348
Arab World,ARB,1980,33.0195808410645
Argentina,ARG,1980,94.0
American Samoa,ASM,1980,97.0
Brazil,BRA,1980,73.0
Barbados,BRB,1980,99.5
Comoros,COM,1980,40.0
East Asia & Pacific (excluding high income),EAP,1980,55.0178108215332
Early-demographic dividend,EAR,1980,40.4898681640625
East Asia & Pacific,EAS,1980,57.6153907775879
Grenada,GRD,1980,98.3000030517578
Guam,GUM,1980,96.0
Hungary,HUN,1980,98.0
IBRD only,IBD,1980,54.5172080993652
IDA & IBRD total,IBT,1980,51.0275688171387
IDA blend,IDB,1980,36.3711814880371
Indonesia,IDN,1980,58.0
Kuwait,KWT,1980,59.0
Latin America & Caribbean (excluding high income),LAC,1980,77.5036087036133
Latin America & Caribbean,LCN,1980,78.5284805297852
Lower middle income,LMC,1980,34.3267402648926
Low & middle income,LMY,1980,50.2494812011719
Late-demographic dividend,LTE,1980,62.3116188049316
Middle East & North Africa,MEA,1980,33.3633804321289
Mexico,MEX,1980,80.0
Middle income,MIC,1980,51.329891204834
Middle East & North Africa (excluding high income),MNA,1980,30.3653793334961
Mozambique,MOZ,1980,12.0
Malaysia,MYS,1980,61.0
Panama,PAN,1980,88.0
Philippines,PHL,1980,83.0
Palau,PLW,1980,91.0
Puerto Rico,PRI,1980,86.0
South Asia,SAS,1980,24.284049987793
Singapore,SGP,1980,74.0
East Asia & Pacific (IDA & IBRD countries),TEA,1980,54.3585586547852
Thailand,THA,1980,84.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1980,77.7861404418945
Middle East & North Africa (IDA & IBRD countries),TMN,1980,29.9772396087646
South Asia (IDA & IBRD),TSA,1980,24.284049987793
Trinidad and Tobago,TTO,1980,93.0
Turkiye,TUR,1980,50.0
Upper middle income,UMC,1980,59.0829811096191
St. Vincent and the Grenadines,VCT,1980,96.9000015258789
World,WLD,1980,59.3887596130371
South Africa,ZAF,1980,75.0
Arab World,ARB,1981,33.695240020752
Bangladesh,BGD,1981,18.0
Bahrain,BHR,1981,59.0
Brunei Darussalam,BRN,1981,69.0
Central Europe and the Baltics,CEB,1981,96.9991226196289
Dominican Republic,DOM,1981,73.0
East Asia & Pacific (excluding high income),EAP,1981,56.5198516845703
Early-demographic dividend,EAR,1981,41.2148094177246
East Asia & Pacific,EAS,1981,58.9864311218262
Spain,ESP,1981,90.0
Greece,GRC,1981,85.0
IBRD only,IBD,1981,55.5488510131836
IDA & IBRD total,IBT,1981,51.937198638916
IDA total,IDA,1981,34.5158081054688
IDA blend,IDB,1981,36.7092094421387
IDA only,IDX,1981,33.4686508178711
India,IND,1981,26.0
Italy,ITA,1981,96.0
Latin America & Caribbean (excluding high income),LAC,1981,78.0322570800781
Latin America & Caribbean,LCN,1981,79.0435104370117
Least developed countries: UN classification,LDC,1981,29.5031700134277
Sri Lanka,LKA,1981,82.0
Lower middle income,LMC,1981,34.9710006713867
Low & middle income,LMY,1981,51.1720085144043
Late-demographic dividend,LTE,1981,63.5324401855469
"Macao SAR, China",MAC,1981,86.0
Middle East & North Africa,MEA,1981,34.2269287109375
Middle income,MIC,1981,52.2935600280762
Middle East & North Africa (excluding high income),MNA,1981,31.300630569458
Montenegro,MNE,1981,83.0
Nepal,NPL,1981,9.0
Pakistan,PAK,1981,15.0
Peru,PER,1981,74.0
Portugal,PRT,1981,75.0
South Asia,SAS,1981,24.9996204376221
Sao Tome and Principe,STP,1981,42.0
Syrian Arab Republic,SYR,1981,37.0
East Asia & Pacific (IDA & IBRD countries),TEA,1981,55.8826103210449
Latin America & the Caribbean (IDA & IBRD countries),TLA,1981,78.3192596435547
Middle East & North Africa (IDA & IBRD countries),TMN,1981,30.9203491210938
South Asia (IDA & IBRD),TSA,1981,24.9996204376221
Upper middle income,UMC,1981,60.356819152832
"Venezuela, RB",VEN,1981,83.0
World,WLD,1981,60.1468696594238
Arab World,ARB,1982,34.4745903015137
Central Europe and the Baltics,CEB,1982,97.0323333740234
Chile,CHL,1982,91.0
China,CHN,1982,51.0
East Asia & Pacific (excluding high income),EAP,1982,57.9139595031738
Early-demographic dividend,EAR,1982,41.9775810241699
East Asia & Pacific,EAS,1982,60.2653999328613
Ecuador,ECU,1982,80.0
Haiti,HTI,1982,33.0
IBRD only,IBD,1982,56.5419998168945
IDA & IBRD total,IBT,1982,52.8203315734863
IDA total,IDA,1982,34.8682899475098
IDA blend,IDB,1982,37.0882186889648
IDA only,IDX,1982,33.808479309082
Latin America & Caribbean (excluding high income),LAC,1982,78.5474624633789
Latin America & Caribbean,LCN,1982,79.5451889038086
Least developed countries: UN classification,LDC,1982,29.83669090271
Lower middle income,LMC,1982,35.6565895080566
Low & middle income,LMY,1982,52.0677909851074
Late-demographic dividend,LTE,1982,64.6701583862305
Morocco,MAR,1982,18.0
Middle East & North Africa,MEA,1982,35.212230682373
Middle income,MIC,1982,53.228099822998
Middle East & North Africa (excluding high income),MNA,1982,32.281909942627
Paraguay,PRY,1982,76.0
South Asia,SAS,1982,25.7807807922363
East Asia & Pacific (IDA & IBRD countries),TEA,1982,57.2971496582031
Latin America & the Caribbean (IDA & IBRD countries),TLA,1982,78.8385925292969
Middle East & North Africa (IDA & IBRD countries),TMN,1982,31.9098796844482
South Asia (IDA & IBRD),TSA,1982,25.7807807922363
Upper middle income,UMC,1982,61.5498809814453
World,WLD,1982,60.8878211975098
Zimbabwe,ZWE,1982,72.0
Arab World,ARB,1983,34.8901481628418
Central Europe and the Baltics,CEB,1983,97.0661087036133
East Asia & Pacific (excluding high income),EAP,1983,59.2517700195312
Early-demographic dividend,EAR,1983,42.7644081115723
East Asia & Pacific,EAS,1983,61.4942817687988
IBRD only,IBD,1983,57.5197906494141
IDA & IBRD total,IBT,1983,53.6939010620117
IDA total,IDA,1983,35.239128112793
IDA blend,IDB,1983,37.4572486877441
IDA only,IDX,1983,34.1801795959473
Israel,ISR,1983,89.0
Latin America & Caribbean (excluding high income),LAC,1983,79.0539169311523
Latin America & Caribbean,LCN,1983,80.0381927490234
Least developed countries: UN classification,LDC,1983,30.2013206481934
Lower middle income,LMC,1983,36.2877998352051
Low & middle income,LMY,1983,52.9538497924805
Late-demographic dividend,LTE,1983,65.7528228759766
Middle East & North Africa,MEA,1983,36.2855491638184
Middle income,MIC,1983,54.1492385864258
Myanmar,MMR,1983,72.0
Middle East & North Africa (excluding high income),MNA,1983,33.443920135498
South Asia,SAS,1983,26.5774803161621
East Asia & Pacific (IDA & IBRD countries),TEA,1983,58.6545715332031
Europe & Central Asia (IDA & IBRD countries),TEC,1983,91.6857986450195
Latin America & the Caribbean (IDA & IBRD countries),TLA,1983,79.3490676879883
Middle East & North Africa (IDA & IBRD countries),TMN,1983,33.0816688537598
South Asia (IDA & IBRD),TSA,1983,26.5774803161621
Upper middle income,UMC,1983,62.7568092346191
World,WLD,1983,61.6174011230469
Arab World,ARB,1984,35.8045196533203
Central Europe and the Baltics,CEB,1984,97.1183090209961
"Congo, Rep.",COG,1984,49.0
Costa Rica,CRI,1984,93.0
East Asia & Pacific (excluding high income),EAP,1984,60.685489654541
Early-demographic dividend,EAR,1984,43.7831993103027
East Asia & Pacific,EAS,1984,62.8062782287598
IBRD only,IBD,1984,58.6656188964844
IDA & IBRD total,IBT,1984,54.7179908752441
IDA total,IDA,1984,35.6759796142578
IDA blend,IDB,1984,37.8307304382324
IDA only,IDX,1984,34.6472702026367
Latin America & Caribbean (excluding high income),LAC,1984,79.5495910644531
Liberia,LBR,1984,19.0
Libya,LBY,1984,42.0
Latin America & Caribbean,LCN,1984,80.520263671875
Least developed countries: UN classification,LDC,1984,30.6598091125488
Lower middle income,LMC,1984,37.0206298828125
Low & middle income,LMY,1984,53.9935302734375
Late-demographic dividend,LTE,1984,66.9200973510742
Middle East & North Africa,MEA,1984,37.374439239502
Middle income,MIC,1984,55.234489440918
Middle East & North Africa (excluding high income),MNA,1984,34.5995788574219
Other small states,OSS,1984,67.1471862792969
South Asia,SAS,1984,27.3861999511719
East Asia & Pacific (IDA & IBRD countries),TEA,1984,60.1092910766602
Europe & Central Asia (IDA & IBRD countries),TEC,1984,92.6586685180664
Latin America & the Caribbean (IDA & IBRD countries),TLA,1984,79.8482666015625
Middle East & North Africa (IDA & IBRD countries),TMN,1984,34.2470512390137
South Asia (IDA & IBRD),TSA,1984,27.3861999511719
Tunisia,TUN,1984,36.0
Upper middle income,UMC,1984,64.186279296875
Vanuatu,VUT,1984,53.7000007629395
World,WLD,1984,62.4651489257812
Africa Western and Central,AFW,1985,28.558349609375
Arab World,ARB,1985,36.7085800170898
United Arab Emirates,ARE,1985,69.0
Central Europe and the Baltics,CEB,1985,97.1619873046875
East Asia & Pacific (excluding high income),EAP,1985,62.0498390197754
Early-demographic dividend,EAR,1985,44.5701904296875
East Asia & Pacific,EAS,1985,64.055419921875
IBRD only,IBD,1985,59.6726913452148
IDA & IBRD total,IBT,1985,55.6312217712402
IDA total,IDA,1985,36.1365699768066
IDA blend,IDB,1985,38.2086486816406
IDA only,IDX,1985,35.1473388671875
Kuwait,KWT,1985,69.0
Latin America & Caribbean (excluding high income),LAC,1985,80.035758972168
Latin America & Caribbean,LCN,1985,80.992561340332
Least developed countries: UN classification,LDC,1985,31.1520099639893
Lower middle income,LMC,1985,37.7636489868164
Low & middle income,LMY,1985,54.9202690124512
Late-demographic dividend,LTE,1985,68.0536193847656
Maldives,MDV,1985,92.0
Middle East & North Africa,MEA,1985,38.4574012756348
Middle income,MIC,1985,56.1973609924316
Malta,MLT,1985,87.0
Middle East & North Africa (excluding high income),MNA,1985,35.7770805358887
Other small states,OSS,1985,67.4823989868164
South Asia,SAS,1985,28.2024707794189
Sub-Saharan Africa (excluding high income),SSA,1985,39.1187286376953
Sub-Saharan Africa,SSF,1985,39.1263008117676
East Asia & Pacific (IDA & IBRD countries),TEA,1985,61.4936485290527
Europe & Central Asia (IDA & IBRD countries),TEC,1985,92.8974685668945
Latin America & the Caribbean (IDA & IBRD countries),TLA,1985,80.3373718261719
Middle East & North Africa (IDA & IBRD countries),TMN,1985,35.4344482421875
South Asia (IDA & IBRD),TSA,1985,28.2024707794189
Sub-Saharan Africa (IDA & IBRD countries),TSS,1985,39.1263008117676
Turkiye,TUR,1985,64.0
Upper middle income,UMC,1985,65.3693618774414
Uruguay,URY,1985,96.0
World,WLD,1985,63.223461151123
Africa Western and Central,AFW,1986,28.8379497528076
Arab World,ARB,1986,37.6204605102539
Central Europe and the Baltics,CEB,1986,97.2062835693359
East Asia & Pacific (excluding high income),EAP,1986,63.2267417907715
Early-demographic dividend,EAR,1986,45.3617095947266
East Asia & Pacific,EAS,1986,65.1162261962891
"Egypt, Arab Rep.",EGY,1986,31.0
Fragile and conflict affected situations,FCS,1986,49.0557594299316
Heavily indebted poor countries (HIPC),HPC,1986,32.7025909423828
IBRD only,IBD,1986,60.5918617248535
IDA & IBRD total,IBT,1986,56.4697303771973
IDA total,IDA,1986,36.5860214233398
IDA blend,IDB,1986,38.6030197143555
IDA only,IDX,1986,35.6230812072754
"Iran, Islamic Rep.",IRN,1986,41.0
Latin America & Caribbean (excluding high income),LAC,1986,80.5136108398438
Latin America & Caribbean,LCN,1986,81.4562683105469
Least developed countries: UN classification,LDC,1986,31.6161804199219
Lower middle income,LMC,1986,38.3351211547852
Low & middle income,LMY,1986,55.7709083557129
Late-demographic dividend,LTE,1986,69.0318908691406
Middle East & North Africa,MEA,1986,39.546028137207
Middle income,MIC,1986,57.0825881958008
Middle East & North Africa (excluding high income),MNA,1986,36.9618186950684
Other small states,OSS,1986,67.8891830444336
Pre-demographic dividend,PRE,1986,36.3266792297363
Qatar,QAT,1986,72.0
South Asia,SAS,1986,29.0315704345703
Sub-Saharan Africa (excluding high income),SSA,1986,39.5011787414551
Sub-Saharan Africa,SSF,1986,39.5087814331055
Eswatini,SWZ,1986,65.0
East Asia & Pacific (IDA & IBRD countries),TEA,1986,62.6877899169922
Europe & Central Asia (IDA & IBRD countries),TEC,1986,93.1389236450195
Latin America & the Caribbean (IDA & IBRD countries),TLA,1986,80.8175430297852
Middle East & North Africa (IDA & IBRD countries),TMN,1986,36.6291618347168
South Asia (IDA & IBRD),TSA,1986,29.0315704345703
Sub-Saharan Africa (IDA & IBRD countries),TSS,1986,39.5087814331055
Upper middle income,UMC,1986,66.5326766967773
World,WLD,1986,63.9141693115234
Africa Eastern and Southern,AFE,1987,47.1497802734375
Africa Western and Central,AFW,1987,29.6168308258057
Arab World,ARB,1987,38.5295295715332
Central Europe and the Baltics,CEB,1987,97.2604675292969
Algeria,DZA,1987,36.0
East Asia & Pacific (excluding high income),EAP,1987,64.7203826904297
Early-demographic dividend,EAR,1987,46.3423690795898
East Asia & Pacific,EAS,1987,66.5240707397461
Fragile and conflict affected situations,FCS,1987,49.6236381530762
Heavily indebted poor countries (HIPC),HPC,1987,33.3619613647461
IBRD only,IBD,1987,61.6435317993164
IDA & IBRD total,IBT,1987,57.4508209228516
IDA total,IDA,1987,37.2266006469727
IDA blend,IDB,1987,39.3770217895508
IDA only,IDX,1987,36.1999588012695
Latin America & Caribbean (excluding high income),LAC,1987,80.8101806640625
Latin America & Caribbean,LCN,1987,81.7453994750977
Least developed countries: UN classification,LDC,1987,32.1944999694824
Lower middle income,LMC,1987,39.3738212585449
Low & middle income,LMY,1987,56.7689399719238
Late-demographic dividend,LTE,1987,70.0684814453125
Middle East & North Africa,MEA,1987,40.6330986022949
Middle income,MIC,1987,58.1120681762695
Middle East & North Africa (excluding high income),MNA,1987,38.1484413146973
Malawi,MWI,1987,34.0
Other small states,OSS,1987,68.4847717285156
Pre-demographic dividend,PRE,1987,37.0977897644043
South Asia,SAS,1987,29.8734703063965
Sub-Saharan Africa (excluding high income),SSA,1987,40.1931800842285
Sub-Saharan Africa,SSF,1987,40.2007484436035
Small states,SST,1987,74.2067489624023
Seychelles,SYC,1987,85.0
East Asia & Pacific (IDA & IBRD countries),TEA,1987,64.2033309936523
Europe & Central Asia (IDA & IBRD countries),TEC,1987,93.3821868896484
Latin America & the Caribbean (IDA & IBRD countries),TLA,1987,81.1062774658203
Middle East & North Africa (IDA & IBRD countries),TMN,1987,37.8257484436035
South Asia (IDA & IBRD),TSA,1987,29.8734703063965
Sub-Saharan Africa (IDA & IBRD countries),TSS,1987,40.2007484436035
Upper middle income,UMC,1987,67.630241394043
World,WLD,1987,64.7417068481445
Africa Eastern and Southern,AFE,1988,47.6577911376953
Africa Western and Central,AFW,1988,30.3316802978516
Arab World,ARB,1988,39.5514183044434
Central African Republic,CAF,1988,20.0
Central Europe and the Baltics,CEB,1988,97.4032974243164
Cote d'Ivoire,CIV,1988,23.0
East Asia & Pacific (excluding high income),EAP,1988,70.4422988891602
Early-demographic dividend,EAR,1988,46.720588684082
East Asia & Pacific,EAS,1988,71.6329727172852
Fragile and conflict affected situations,FCS,1988,50.2035598754883
Heavily indebted poor countries (HIPC),HPC,1988,33.8446388244629
IBRD only,IBD,1988,64.4910888671875
IDA & IBRD total,IBT,1988,59.9383087158203
IDA total,IDA,1988,37.9772415161133
IDA blend,IDB,1988,40.1779899597168
IDA only,IDX,1988,36.9265785217285
Latin America & Caribbean (excluding high income),LAC,1988,81.3798217773438
Latin America & Caribbean,LCN,1988,82.3494491577148
Least developed countries: UN classification,LDC,1988,32.9348297119141
Low income,LIC,1988,35.7952117919922
Lower middle income,LMC,1988,39.5968017578125
Low & middle income,LMY,1988,59.29248046875
Late-demographic dividend,LTE,1988,74.8624267578125
Middle East & North Africa,MEA,1988,41.8159790039062
Middle income,MIC,1988,60.7687492370605
Middle East & North Africa (excluding high income),MNA,1988,39.3382987976074
Other small states,OSS,1988,69.5726089477539
Poland,POL,1988,99.0
Pre-demographic dividend,PRE,1988,37.7486114501953
South Asia,SAS,1988,29.8611793518066
Senegal,SEN,1988,18.0
Sub-Saharan Africa (excluding high income),SSA,1988,40.7831687927246
Sub-Saharan Africa,SSF,1988,40.7907409667969
Small states,SST,1988,74.9846572875977
East Asia & Pacific (IDA & IBRD countries),TEA,1988,70.0090866088867
Europe & Central Asia (IDA & IBRD countries),TEC,1988,93.6546401977539
Latin America & the Caribbean (IDA & IBRD countries),TLA,1988,81.7340927124023
Middle East & North Africa (IDA & IBRD countries),TMN,1988,39.0256195068359
South Asia (IDA & IBRD),TSA,1988,29.8611793518066
Sub-Saharan Africa (IDA & IBRD countries),TSS,1988,40.7907409667969
Tanzania,TZA,1988,48.0
Upper middle income,UMC,1988,72.2015533447266
World,WLD,1988,66.8254623413086
Africa Eastern and Southern,AFE,1989,48.0540885925293
Africa Western and Central,AFW,1989,31.2255592346191
Arab World,ARB,1989,40.5765914916992
Armenia,ARM,1989,98.0
Belarus,BLR,1989,97.0
Central Europe and the Baltics,CEB,1989,97.5007629394531
East Asia & Pacific (excluding high income),EAP,1989,71.3926696777344
Early-demographic dividend,EAR,1989,47.5346412658691
East Asia & Pacific,EAS,1989,72.5109634399414
Europe & Central Asia (excluding high income),ECA,1989,90.0458984375
Estonia,EST,1989,100.0
Fragile and conflict affected situations,FCS,1989,50.631908416748
Heavily indebted poor countries (HIPC),HPC,1989,34.464599609375
IBRD only,IBD,1989,65.3109893798828
IDA & IBRD total,IBT,1989,60.7278518676758
IDA total,IDA,1989,38.6203384399414
IDA blend,IDB,1989,40.8172988891602
IDA only,IDX,1989,37.5714797973633
Kazakhstan,KAZ,1989,96.0
Latin America & Caribbean (excluding high income),LAC,1989,81.9356231689453
Latin America & Caribbean,LCN,1989,82.9044494628906
Least developed countries: UN classification,LDC,1989,33.5694999694824
Low income,LIC,1989,36.2281188964844
Lower middle income,LMC,1989,40.4434089660645
Low & middle income,LMY,1989,60.088939666748
Late-demographic dividend,LTE,1989,75.6563034057617
Lithuania,LTU,1989,98.0
Latvia,LVA,1989,99.0
Moldova,MDA,1989,94.0
Middle East & North Africa,MEA,1989,43.0008316040039
Middle income,MIC,1989,61.5880584716797
Middle East & North Africa (excluding high income),MNA,1989,40.5328712463379
New Caledonia,NCL,1989,92.0
Other small states,OSS,1989,70.3037109375
Pre-demographic dividend,PRE,1989,38.5173110961914
Russian Federation,RUS,1989,97.0
South Asia,SAS,1989,30.7882499694824
Sub-Saharan Africa (excluding high income),SSA,1989,41.3766899108887
Sub-Saharan Africa,SSF,1989,41.3842582702637
Small states,SST,1989,75.5173721313477
East Asia & Pacific (IDA & IBRD countries),TEA,1989,70.973388671875
Europe & Central Asia (IDA & IBRD countries),TEC,1989,93.7811889648438
Tajikistan,TJK,1989,97.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1989,82.3109970092773
Middle East & North Africa (IDA & IBRD countries),TMN,1989,40.2302398681641
South Asia (IDA & IBRD),TSA,1989,30.7882499694824
Sub-Saharan Africa (IDA & IBRD countries),TSS,1989,41.3842582702637
Upper middle income,UMC,1989,73.0573883056641
Viet Nam,VNM,1989,83.0
World,WLD,1989,67.487922668457
Africa Eastern and Southern,AFE,1990,48.6949081420898
Africa Western and Central,AFW,1990,32.0875396728516
Arab World,ARB,1990,41.6636085510254
Burundi,BDI,1990,28.0
Central Europe and the Baltics,CEB,1990,97.6005706787109
China,CHN,1990,68.0
Cabo Verde,CPV,1990,53.0
East Asia & Pacific (excluding high income),EAP,1990,72.2718505859375
Early-demographic dividend,EAR,1990,48.5691795349121
East Asia & Pacific,EAS,1990,73.3238525390625
Europe & Central Asia (excluding high income),ECA,1990,90.3442001342773
Ecuador,ECU,1990,86.0
Fragile and conflict affected situations,FCS,1990,51.2373695373535
Guam,GUM,1990,99.0
Heavily indebted poor countries (HIPC),HPC,1990,35.086971282959
Hungary,HUN,1990,98.8000030517578
IBRD only,IBD,1990,66.1874084472656
IDA & IBRD total,IBT,1990,61.5775299072266
IDA total,IDA,1990,39.3410491943359
IDA blend,IDB,1990,41.6764183044434
Indonesia,IDN,1990,75.0
IDA only,IDX,1990,38.2261199951172
Latin America & Caribbean (excluding high income),LAC,1990,82.3838195800781
Latin America & Caribbean,LCN,1990,83.3322219848633
Least developed countries: UN classification,LDC,1990,34.2313919067383
Low income,LIC,1990,36.7596092224121
Lower middle income,LMC,1990,41.3103713989258
Low & middle income,LMY,1990,60.9499893188477
Late-demographic dividend,LTE,1990,76.3864822387695
Maldives,MDV,1990,96.0
Middle East & North Africa,MEA,1990,45.7060012817383
Mexico,MEX,1990,85.0
Middle income,MIC,1990,62.4698104858398
Middle East & North Africa (excluding high income),MNA,1990,43.4154586791992
Mauritius,MUS,1990,75.0
Other small states,OSS,1990,70.914909362793
Panama,PAN,1990,88.0
Philippines,PHL,1990,93.0
Pre-demographic dividend,PRE,1990,39.2178916931152
Puerto Rico,PRI,1990,90.0
South Asia,SAS,1990,31.7026100158691
Singapore,SGP,1990,83.0
Sub-Saharan Africa (excluding high income),SSA,1990,42.1051788330078
Sub-Saharan Africa,SSF,1990,42.1127281188965
Small states,SST,1990,75.9667205810547
East Asia & Pacific (IDA & IBRD countries),TEA,1990,71.8654632568359
Europe & Central Asia (IDA & IBRD countries),TEC,1990,94.0136566162109
Latin America & the Caribbean (IDA & IBRD countries),TLA,1990,82.7555236816406
